latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.63165,3.23098,315.39,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,294.92,1.4,N
53.5223,9.90739,318.13,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,285.11,3.41,N
37.95232,-8.79904,296.03,0.37,0.58,2025-06-24,0141,N21,nominal,2.0NRT,278.35,1.44,N
53.52002,9.90021,298.7,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,284.28,3.41,N
36.5993,3.13554,313.9,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,294.13,1.29,N
53.51908,9.90588,308.16,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,284.2,3.41,N
52.16625,14.61098,299.53,0.5,0.41,2025-06-24,0137,N21,nominal,2.0NRT,284.27,0.63,N
36.59702,2.87774,328.1,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,294.93,2.72,N
51.10601,18.94078,302.63,0.51,0.5,2025-06-24,0137,N21,nominal,2.0NRT,284.57,1.76,N
36.05381,5.86592,319.52,0.46,0.39,2025-06-24,0141,N21,nominal,2.0NRT,291.47,2.66,N
51.68591,15.9819,299.9,0.57,0.43,2025-06-24,0137,N21,nominal,2.0NRT,284.87,1.91,N
36.54734,2.82296,309.23,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,293.44,0.71,N
52.40121,12.49538,319.36,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,285.84,2.03,N
52.40002,12.5015,305.1,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,285.48,1.77,N
35.86633,6.02561,309.16,0.47,0.4,2025-06-24,0141,N21,nominal,2.0NRT,290.53,0.94,N
50.49251,19.45605,295.75,0.56,0.52,2025-06-24,0137,N21,nominal,2.0NRT,284.16,0.87,N
50.48858,19.4704,297.94,0.56,0.52,2025-06-24,0137,N21,nominal,2.0NRT,282.44,1.68,N
36.40594,2.89405,328.75,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,294.84,4.01,N
51.17839,16.11361,308.07,0.4,0.44,2025-06-24,0137,N21,nominal,2.0NRT,284.12,0.92,N
36.40268,2.89323,329.77,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,294.87,3.18,N
50.33107,19.29014,336.56,0.56,0.52,2025-06-24,0137,N21,nominal,2.0NRT,286.42,10.34,N
36.39841,2.85662,301.33,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,291.15,0.68,N
